Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
1.02,7.47,0.32,0.08,23.97,4.12,72.3,28.87,22.72,0.28,0,0,0.11,0,0,0,0,0,12.12,0,0,0,0.14,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0
0,82.37,0.23,1.2,6.7,3.62,9.38,17.37,59.12,0,0,15.52,13.38,0,0,0,0,0,10.2,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,135.77,0.12,0,27.82,45.95,67.63,46.9,8.85,0,70.77,4.6,4.22,0,0,1.27,0,0,22.57,0,0,0,0.02,12.22,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
0,55.77,0,0.08,0,0,0,0,1.82,0.03,0,0,0,0,0.02,0,0,0.01,8.88,0,0,0,0.04,0,0,0.11,0,0,0,0,0,0,0.22,0.13,0,0,0,0,0,0,0.09,0
4.12,0.37,4.3,0.42,0,0,68.25,18.08,2.05,0,0,56.68,5.47,0,0,0,0.05,0,4.47,0,0,0,0,86.05,0,0,0,9.8,0,0,0,0,1.68,0,0,0,1.68,0,0,0,0,0
0,66,0.48,3.72,0,0.08,0,0,0.11,0,0,0,0,0,0,1.67,0,0,3.43,0,0,0,0,29.82,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20.83,0,0.7,0,0,0,0.06,0,0,0,0,0.1,0.06,0,0,3,0,2.27,0.29,0.32,3.68,0,0,8.88,36.47,0.47,0.4,0,0,0,0,0,0,0,0.24,0,0
0.22,69.13,0,13.13,0,0,52.2,0,1.25,0,0,0.85,2.25,0,0,0,0,0,11.93,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9.95,0,0,0,78.35,16.82,88.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0
3.65,0,0,0.93,0,9.08,18.72,3.53,52.37,0,0,0.01,0,0,0,9.02,0,0,96.83,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
