Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
0.13,2.55,0.55,0.1,5.33,32.92,31.72,10.97,65.13,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0
0,25.25,2.93,0,20.07,25.38,8.92,1.87,74.5,0,4.53,31.15,0,0,0,0,0,0,3.45,0,0,0,0,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0
0,67,4.97,3.4,1.5299999999999998,64.92999999999999,35.26,8,107.4,4.46,142.73000000000002,0.2,1.63,0,0,0,0,0,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.17,0,0,0,0
0,101.17,1.06,0.1,0,0,0,0,5.13,0.27,0,1.7,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
0,55.97,0.23,0,0.33,53.03,0,27.83,19.7,2.3,0,116.83,167.14,0,0,0,0,0,56.5,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,1.1,3.53,0,0,0,0
0.72,3.07,0,0.43,0,0,118.08999999999999,13.2,0.35,6.65,0,87.53,0.18,0,0,0.77,0,0,0,0,0,0,0,51.7,0,0,0,2.37,0,0.4,0,0,0,0.43,0,0,0.25,0,0,0,0,0
0,27.62,0,2.37,0,0,0,0,0.42,0.05,0,0,0,0,0,0.12,0,0,0,0,0,0,0,36.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.18,0,0,0,0,232.95,0,24.52,0.4,0,0,0,0,0,0,0,0.23,0,0,0,2.38,0,0.73,0,7.73,0,0.03,0,2.63,30.4,0.12,0,0,0.28,0.07,0,8.28,0,0,0,0,0
0.02,51.47,0.17,6.42,0,0,50.78,17,10.97,0,0,0,0.35,0,0,0,0,0,4.95,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.52,0,0,0,0,19.3,0,3.27,0,0,0,0,0,0.58,0,0,0,0,0,0,0.12,0,0,0,0,3.02,0.18,0,0.67,0.23,0,0,0,0,0,0,0,0.3,0,0,0,0
0,0,5.18,0,0,0,64.85,0,247.49,1.47,0,0.33,0,0,0,0,0,0,0.23,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.45,0,0,321.02,0,0.27,1.05,0,0,0,0,0,0.7,0,0,0,0,2.13,0.63,0,0,6.35,0.23,0,0,0,0,0,0,0,0,0,0,0
0.33,0,0,1.25,0,48.2,32.95,6.57,59.18,0,0,1.6,0,0,0,19.1,0,0,24.48,0,0,0,0,8.8,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
6.88,0,22.3,0,23.85,1.4,87.55,0.02,61.17,1.58,0,0,4.05,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.23,0,0,0,0,1,0,0.33,0,0,0,0,0,0
0.33,0,0,0,0,0,92.37,0,101.18,1.83,0,36.78,0,0,0,0,0,0,0,0,0.4,0,0,1.22,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
0,0,1.6,0,0,0,0,0,46.73,0,0,0,0,0,0,0,0,0.02,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.58,65.77,0,0,14.73,152.73,15.170000000000002,7.05,35.25,0,13.03,3.15,0,0,0,0,0,0,11.72,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.23,0,0.17,0.23,0,0,10,0,295.87,0.30000000000000004,0,0,0.2,0.77,0,0,0,0,1.67,0,0.1,0,2.57,5.27,4.13,0.73,0.47,31.03,0,1.17,0,0,0,7.960000000000001,0,0,0.13,0,0,0
0.1,3.97,0.23,11.6,470.57000000000005,0,0,0,9.899999999999999,0.63,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,1.47,0,5.5,0,0,3.5,0.23,0,0,3.03,0,0,0,0,0
0,0,0,12.73,0,0,0,1.28,0.37,1.17,0,136.5,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,12.2,0,8.78,0,0,0,0,0,0.12,2.43,0,0,0,0,0
0,0,20,36.97,0,0,0,0.23,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,55.15,0.4,0.73,0,0,0,2.55,10.32,0,0,48.77,0,0,0,0,0,0,39.7,0,0,0,0,41.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.88,0,0,0,89.47,2.08,6.05,0,0,0.38,0,0,0,0.33,0,0,38.97,0,0,0,0,44.53,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0.45,0,0,0,0
0,0,0,0.05,232.92,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,3.82,0,15.02,0.85,2.4,12.38,0,19.05,0,20.78,64.6,7.85,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.5,0,0,0,0,66.18,4.7,10.9,0.57,0,0,0,0,0,0.38,0,0,0,0,0,0,0,50.75,0,0.13,0,0,0,0.15,0,0,1.25,0.28,0,0,7.05,0,0,0,0,0
0,11.98,1.88,3.2,0.37,48.53,1.75,0.3,37.57,0,8.08,17.95,1.75,0,0,0,0,0,2.28,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12,0.22,0.05,0,0,0,0.07,0,0.22,0,0.75,0,0,0.04,0,0,0,90.05,0,0.03,0,0.13,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
0,3.52,6.03,3.95,2.45,0,23.060000000000002,0.17,70.53,0,70.33,27.87,5.33,0,0,0,0,0,1.18,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.12,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.15,0,0,0,0,0,0,0,0
