Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
7.1,3.1,5.55,1.457,11.817,75.017,157.283,2.2,156.733,0.313,0,0,0,0,0,0,0.142,0,6.7,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,1.283
0,16.433,0.15,4.033,2.517,17.883,11.983,0,104.233,0.367,50.417,0.517,4.25,0,0.4,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417
1.833,55.433,3.983,0.628,0.905,33.55,1.55,10.483,62.233,0.503,59.433,0,3.817,0,0,0.102,0.987,0,51,0.05,0,0,0,5.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.783
0,66.067,0,0,0,0,0,0,8.783,0,0,0,0,0,0.183,0,0,0.052,2.1,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343
0,10.367,0.633,0,0.467,29.767,0,26.3,0.833,0,0,92.767,98.233,0,0,0,0.3,0.117,0.833,0,0,3.583,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0,1.417,0,0,0,0,1.783
0.183,122.483,0,4.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433
2.683,93.783,0,23.75,0,0,72.517,0,1.85,0,0,0.133,0.75,0,0.1,0,0,0,0.217,0,0,0,0,10.2,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183
0,0,0.867,0.95,0,0,125.983,0.233,127.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0.433
4.2,3.45,0.197,9.633,1.257,70.317,15.367,30.717,39.817,0,0,0,0,0,0,6.933,0,0,109.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0.85,6.85,0,4.45,0,214.3,0,153.7,0,0.1,0,11.5,0,0,0,0.533,0,0.65,0,0,0,0,0,0.717,0,0,0,0,0,0,0,0.983,0,0,0,0,0,0,0,0,1.067
