Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
0.65,0.25,1.45,11.15,0,45,49.167,0.75,97.4,0.533,0,0,0,0,0,0,0,0,4.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.117,0,0,0.667,66.233,2.067,7.75,49.6,0,57.117,3.6,3.15,0,0,0,0,0,52.217,0,0,0,0,0,0,0,0,0,0,1.217,0,0,0,0,0,0,0,0,0,0,0,0
0,71.19,0,0.198,0,0,0,0.433,2.037,0,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32.782,0,0,0,60.757,0,9.607,1.55,0,0,87.692,56.008,0,0.012,0,0,0,6.327,0,0,0,0,0,0,0,0,0,0.02,1.235,0,0,0,0,0,0,0,0,0,0,0,0
11.4,0,0,0,0,0,39.883,3.133,0,0,0,14.983,0,7.833,0,19.617,0.283,0,0,0,0,0,0,33.967,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45,25.317,0,49.58,0,0,3.833,0.038,1.43,0,0,0,0,0,0,0,0,0.105,4.76,0,0,0,0,1.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129.983,0,0,0,0,0.183,0,0.633,0.133,0,0,0,0,0,13.267,0,0.7,0,0,0,0,0,0.25,0,0,4.533,0,0.217,0.983,0,0,1.967,0,0,0.317,0,0,0,0,0.25,0,0
0,0.1,0.267,0,0,0,202.067,0,87.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,36.048,0,33.668,0.16,0,3.323,0,0,0.345,0.155,0,0,0,0,7.715,0.59,0,0,0,0,0,0,0,0.763,0,0,0,0,0,0,0
0,0,0.175,0,119.15,0,0,0,0.543,0,0,0,0.043,15.248,0.782,0,0.752,0.345,0,0.002,0,0,0,0,0,0,0.012,0,0,0.228,0.175,0,0,0,0,0,0,0,0,0,0,0
