Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
3.78,9.5,0,1.83,143.27,5.47,119.5,37.15,41.07,0,0,0.33,0,0,0,0,0,0,5.27,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0
0,19.38,0.13,16.87,35.35,28.22,6.17,26.4,12.65,0,30.93,15.25,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54.37,0.05,0,35.83,2.32,41.53,37.5,11.4,0,47.8,2.62,0,0,0,0,0.37,0.07,15.83,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.07,1.02,0,0,0,0
0,44.48,0,0.23,0,0.01,0,0,1.63,0,0,0,0,0,0,0,0,0,23.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
0,13.92,0,0,0,17.12,0,4.2,0,0,0,32.53,98.97,0,0,0,0.22,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.38,0,0,0,0,0,80.42,16.83,0.12,1.07,0,32.92,17.83,4.38,0,0,1.05,0,0,0,0,0,0,79.45,0,1.23,0,4.92,0.27,0,0,0,0,0,0,0.01,1.55,0,0,0,0,0
1.48,49.03,0,14,0,0.08,0,1.62,16.02,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
0,0,0.22,0,0,31.92,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,2.55,0,0,8.85,0,0,0.6,17.02,0,0.35,0,0,5.25,0,0,0,0,0.43,0,0
0.62,39.17,0.27,18.6,0,0,82.4,0,1.03,0,0,0,0,0.27,0,0,0.02,0,9.05,0,0,0,0,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0.35,0,0,0,0.09,0,0.38,0,0,0,0,0,0,0,0,0.13,0,0,1.13,0,0,0,0,0,0,0,0,0.03,0.04,0,0,0.45,0,0,0
