Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
6.7,146.217,1.017,0,4.1,112.583,95.6,16.433,2.95,0.767,0,14.65,0,0,0,0,0.05,0,40.417,0,0,0,0,171.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567
18.433,0,8.3,8.983,0,0,148.917,0,1.9,2.9,0,0,0.95,0.65,0.022,29.233,0.25,0,0,0.05,0,0.1,0,0,42.15,0,0,0,0,0.817,0.167,0,0,0.117,0.02,0,1.667,0,0,0,0.35,1.617
0,0,0.317,0.417,0,122.133,0,9.7,0,0.05,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,8.467,0,0,0,0,0.007,0,0.033,0,0.35,0,0,0
0,23.617,0,0,0,84.533,0,53.733,3.633,0,0,0,0,0,0,0,0,0,127.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.45,1.283,6.233,0,0,12.233,0.317,0.367,0,0,87.467,1.583,0,0,0,0,12.683,0,0,0,0,0.283,0,0,0,0,0.183,0.25,0,0,0,0.767,0,0,0,0,0,0,0.03,1.933
0,26.133,0.667,3.633,3.367,0,69.117,0,62.583,0,0,0,0,0,0,0,0.033,0,17.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0
8.433,0,0,0.8,0.683,0,0,0,103.05,0,0,0,4.617,0,0,39.833,0,0,4.433,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0
0,0,0,0,0,100.767,13.9,4.333,127.833,0.2,9.017,36.6,25.433,0,0,0,1.233,0,99.067,0,0,0,0,31.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
0,0,0,0,0,0,0,0,65.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,190.033,0,0,0,157.683,0,6.683,1.367,0,0,0,0,0,0,0,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0.45
0,0,0,2.083,0,0,0,0.8,0.45,0,0,0,130.05,0,0.05,0,0,0,0.133,0,0,0,0,0,3.317,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0
0,10.233,0.317,0,0,116.6,0,20.117,130.75,0,0,1.633,0,0,0,0,0,0,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.052,4.967,4.15,1.417,0,0,659.783,12.85,17.483,0,0,88.25,0,0,0,0,0.283,0,260.583,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067,0,0,0.583,0,0,0,0.07,0
12.15,209.467,0,0,0,86.25,0,46.5,24.333,0,104.2,3.7,0.983,0,0,13.733,0.058,0,93.05,0,0,0,0,238.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.617,0,0.5,1.633,0,174.15,0,32.7,191.117,0.433,0,44.817,1.633,0,0,0,0.043,0,1.833,0,0.057,0,0,0.333,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0.867,0,0,0
3.5,31.55,0,0.5,0.2,0,263.917,0,89.2,0,0,24.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683,0,0,0,0,0,0,0,0.183
0.867,12.083,2.133,5.767,0,148.283,0,2.75,55.75,0,3.75,15.933,0.2,0,0,0,0,0,53.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
0,0.15,0,30.85,53.85,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.033
0.967,0.95,0.04,0,0,0,0,0,0.9,0,0,0,2.767,0,0.367,0,0,0,103.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
