Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
3.13,4.72,0.83,1.82,45.07,4.3,68.58,42.12,40.15,0.82,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,1.33,0,0,0,0,0
0,45.88,0.73,17.38,10.25,15.38,5.15,16.77,74.52,0,33.22,8.98,14.77,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57,98.98,0.23,0.28,71.63,31.38,0.52,43.52,57.45,0,74.68,1.28,0,0,0,0,0,0,41.42,0,0,0,0,115.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,96.03,0,0.07,0,0,0,0,2.72,0.53,0,0,0,0,0,0,0,0,20.12,0,0.03,0,0,0,0,0.05,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.04,0,0
0,4.35,0,0,0,6.18,0,7.92,0.25,0.5,0,42.03,117.63,0,0,0,0,0,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0
2.27,2.33,0,0,0,0,62.77,14.83,0.35,0.65,0,31.53,1.35,0.18,0,0.15,0,0,0,0,0,0,0,191.57,0,0,0,0.88,0,0,0,0,4.25,0,0,0,0.48,0,0,0,0,0
0,40.75,0.13,6.15,0,0,0,0,3,0,0.18,0,0.28,0,0,0,0.2,0.01,0.35,0,0,0,0,43.23,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.27,0,0
0,0,0,0,0,10.57,0,3.58,0,0,0,0.18,0,0,0,1.67,0,0,0,0,0,0,0.23,0,0,5.43,0,0.1,7.12,58.22,0,0.22,0,0,0.15,0,0.35,0,0,0,0,0
2.63,25.58,1.78,22,0,0,89.7,2.1,5.43,0,0,0.9,0,0,0,0,0,0,29.77,0,0,0,0,44.9,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.75,2.1,3.75,0,0,79.97,10.52,98.7,0,0,0,0,0,0,0,0,0,0.65,0,0.12,0,0.07,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
0,0,0.28,0.6,186.73,0.2,0.03,1.3,0.25,0,0,0.17,0,0.17,0,0,0,0,0,0,0.13,0,0.02,2.37,6.83,0.13,0,0,0.12,0.85,0,0,0,0,0,0,0,0,0,0,0,0
3.9,0,0.53,15.53,0,1.48,4.1899999999999995,6.9,40.98,0,0,0,0,0,0,22.32,0,0,122.18,0,0,0,0,38.68,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
6.4,2.22,1.3,2.6,46.35,0,111.58,6.43,41.2,1.15,0,0,32.55,0,0,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.02,4.45,0,1.2,0,0,0,0,0,0
0,1.48,0,0,0,0,73.67,0.2,101.18,0,0,33.78,0.13,0,0,0.42,0,0,0,0,0.02,0,0.12,228.22,0.03,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01,70.98,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.53,0.05,0,0,0,0,0.02,0,0,0,0,0.07,0,0,0,0,0,0.68,0,0
5.9,156.87,0,0,26.28,12.32,21.47,26.38,22.2,0,10.55,10.95,0,0,0,4.12,0,0,9.6,0,0,0,0,88.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,1.18,0,0,168.5,0,0,0,0,0,0,0,0,0,0.2,0,0.37,0,0,0.55,0,0,0,10.53,0,6.93,0,0,0.05,1.37,0,0,1.32,0,0,0
