Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
0.57,0.35,2.43,0,13.53,130.98,50.25,28.38,99.35,1.23,0,0.38,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.36,0.3,4.75,41.58,108.79,2.64,0.39,65.8,0.1,10.81,9.88,0.93,0,0,0,0,0,0.08,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28,64.56,0.41,0.72,21.52,68.06,0.07,16.37,41.95,0,66.02,0,0,0,0,0.12,0,0,19.88,0,0,0,0.01,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0
0,38.98,0.72,1.95,0,2.58,0,0.35,22.88,0.12,0,0.27,0,0,0,0,0,0.13,2.53,0,0.55,0,0,0,0,0,0,0,0,0,0.2,0,0,0.38,0,0,0,0,0,0,0,0
0,49.95,2.8,0,0,62.44,0,28.46,1.6,0,0,67.31,53.35,0,0,0,0,0,17.32,0,0,0,0.78,0,0,0,0,0,0,1.79,0,0,0,0,0,0.38,1.05,0,0,0,0,0
1.82,0,2.71,0,0,0.04,66.77,36.25,2.08,0.95,0,42.77,1.55,0,0.23,0,0,0,0,0,0,0,0,74.68,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0
0.17,51.32,0.1,14.45,0,0,0,0.8,5.18,0,0,0,0,0,0,0,0,0.08,1.7,0,0,0,0,38.58,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
0,0.07,1.45,0,0,156.08,0,2.85,0,0,0,0.87,0,0.03,0.05,0,0.1,0.24,0.22,0,2.87,0,1.7,0,37.22,0.67,0.24,0,1.4,58.8,0.18,0.47,0,0.09,0.25,0,0.14,0,0,0,0,0
0.05,33.67,0.08,27.8,0,0.34,77.2,0.03,8.58,0,0,0,0,0,0.04,0,0,0,3.63,0,0,0,0,14.32,0,0.09,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0
27.95,0,9.32,0,0,0.19,0,3.72,0,0,0,3.12,0,0,0,0.32,0,0,0,0,1.5,0,0.58,0,0,0,0.9,0,0.62,0,0,0,0,1.05,0.27,1.05,2.83,0,0,0,0,0
0,0.29,3.75,0.29,0,0,160.33,2.72,120.73,0.25,0,0,0,0,0.25,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
