Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
5.12,0,2.05,1.47,102.35,10.85,38.98,38.48,70.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.22
0,5.83,0.9,6.73,9.93,18.43,7.63,7.2,94.13,1.12,3.22,28.9,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25,93.57,1.18,4.82,7.97,69.15,0.25,24.47,53.83,0.92,95.28,0,0,0,0,0,0,0,5.95,0,0,0,0.07,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0
0.07,49.9,0.38,0.28,0,0,0,0.03,3.67,0.17,0,0,0,0,0.02,0,0,0,6.52,0,0.17,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
0,28.08,0.5,0,0,54.57,0,41.62,3.68,0,0,65.43,47.17,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.28,0,0,0,0,0
4.42,0,3.47,0,0,0.07,95.42999999999999,12.47,0,3.58,0,41.75,0,0.47,0,0,0,0,0,0,0,0,0.18,26.4,0,1.08,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.02,0,0
0,52.28,0.25,11.3,0,9.18,0,0,0.02,0,0,0,3.72,0,0,0,0,0,9,0,0.03,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07,0,1.73,0,0,50.08,0,39.23,0.52,1.6,0,0,0,0,0.63,0,1.12,0,0,0,0.02,0,1.32,0,18.22,2.98,0,0,1.17,24.7,0,0,0,0,0.87,0,2.17,0,0,0,0,1.63
0,2.03,0.9,33.37,0,0,51.949999999999996,0.8,3.25,0,0,0,0.65,0,0,0,0,0,4.22,0,0,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.05
0,0.47,1.08,1.93,0,0,100.2,1.62,75,0.88,0,0,0,0,0,0,0,2,0.15,0,0,0,0.02,0,0,0,0,0,0,0,0.17,0,0,0,0.02,0,0,0,0,0,0,0
6.5,2.62,0.5,4.32,0.08,21.63,5.7,23.83,54.42,0,0,0,0,0,0,14.08,0,0,10.6,0,0,0,0,50.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.25,5.23,12.33,0,12.93,0,85.6,1.65,19.92,0,0,0,1.22,0,0,0,0,0,3,0,0.67,0,0.28,0,0,0,0,0,0.15,0,0,0,0,0,0,1.17,0,0,0,0,0,0
0,0,0,0.98,0,0,231.35,3.07,59.8,0.43,0,23.98,0,0,0,0,0,0,0,0,0.12,0,0.02,0,0,0,0,0,0.35,0,0,0,0,0.23,0,0,0,0,0,0.02,0,0.18
0.42,0,0,0,0,0,0,0,135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.28,0
9.57,56.53,0.18,0,0.17,14.13,12.12,22.8,43.3,0,27.92,10.62,2.17,0,0,0,0,0,6.52,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0
0.08,0.23,0.08,0,0,0.13,0,0.32,0,0,207.17,0.17,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0.02,0,0.58,13.72,0,0.23,0,0,0,2.23,0,0,7.1,0,0,0
3.23,5.48,7.22,33.15,107.3,5.82,0,1.3,15.85,0,0,0,0,0,0,0,0,0,18.58,0,0,0,0.05,0.32,0.93,0.83,0,0,0,3.12,0,0,0,0,0,0,0.15,0,0,0,0,0.93
0,0,1.18,4.93,0,0,0,28.38,0,0,0,208.97,0,0,0,0,0,0,0,0,0,0,0.1,0,0.02,0,0,12.07,0,7.18,0,0,4.63,0,0.18,2.08,0,0,0,0,0,0
0,0,0,259.12,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.05,0,0.72,0,0,30.35,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0.58
0,80.62,1.43,7.27,0,0,0,4.78,13.43,0,0,96.55,7.95,0,0,0,0,0,17.08,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0
0,1.82,0.55,0,0,0,87.18,18.07,2.63,0,0,0,0,0,0,0,0,0,21.17,0,0,0,0.03,157.52,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.4,0
0,0,0,0,76.17,0,0,0,0,0.1,0,0,0,0.22,0,0,0,0,0,0,0.02,0,0.05,0,0.2,0,0,0,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0.15,0.37
0,26.78,0.23,13.5,2.62,4.28,35.08,2.58,66.58,0.43,76.7,55.72,2.3,0,0,0,0,0,3.97,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0
0,0.45,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,69.3,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.43,0
0,0,0.93,0,0,0,341.13,17.8,0.47,4.28,0,0.07,0,0,0,0,0,0,0,0,0.23,0,0.1,20.22,0,0.27,0,0.1,0,0,0,0,2.37,0,0,0,0.58,0,0,0,0,0
0,4.5,2.65,23.02,0.23,48.13,18.15,0.97,113.57,0,70.03,48.18,24.68,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13
0,2.07,0,1.37,0,0.47,0,0,0.88,2.3,0,0,0,0,0,0,0,0,90.02,0,0.38,0,0.37,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.4,0.15
0,16.53,0.33,18.82,50.93,0,58.2,16.22,57.27,0,99.43,28.68,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.93,0.1,0.84,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,67.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0
0.13,0.02,0,0,81.08,0,0,0,0,0.1,0,0,0,2.08,0,0,0,0,0,0,0.05,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0
0,104.62,0,21.93,0,0.02,0,0,3.7,0,0,0,0,0,0,0,0,0,2.38,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.32
7.53,137.07,3.37,1.8,0.02,32.38,24.73,25.3,0.12,0,0,21.13,0.7,0,0,0,0,0,8.88,0,0,0,0.15,55.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9.2,0.03,0,0,0,0,0.8,0,0,0,0,0,1.1,0,0,0.02,0,0,0,0,1.9,0,11.42,4.13,0.28,0,0.22,0,0.02,0,0,0,3.92,0,0,0,0,2.77,1.75,2.13
1.03,0,0.82,30.1,0,0,154.68,1.53,2.95,12.88,0,0,0,0,0,0,0,0,0.5,0,0.38,0,0.33,0.02,1.12,0.82,0,0,0,0.1,0,0,1.35,0,0.18,0,0,0,0,0,0.15,0
0,0,5.55,1.03,0,80.63,0,49.15,0.38,2.02,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,0,0.23,0,0.15,0,0.4,0,0,0
5.55,3.65,0.95,0,1.12,24.38,23.3,39.73,36.13,0,0,35,8.85,0,0,2.58,0,0,1.68,0,0,0,0.03,53.63,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37.32,0,0,0,33.27,0,76.07,5.27,0,0,0,0,0,0,0,0,0,39.08,0,0,0,0.57,0,0,0,0,0,0.43,7.02,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.7,50.03,0,0,5.23,5.68,0.48,0,0,37.95,0,0,0,0,0,12.47,0,0.12,0,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.05
0,31.9,0,23.55,3.68,0,99.80000000000001,3.9,77.82,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0.02,0,48.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2.02,0,0.38,1.05,0.98,0,0,1.52,116.83,0,0,0,12.28,0,0,3.98,0,0,3.42,0,0,0,0,17.13,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.03,0
0,0,8.98,0,0,0,171.05,0,0,0,0,0,0,0,0.6,0,0,0,0,0,4.75,0,0.1,0,0,0.25,0.02,0,0.05,2.35,0.02,0,0,0,0.02,0,0,0,0,0.05,1.12,1.63
0.52,20.08,0.3,0,0,42.18,20.38,51.47,72.75,0,2.33,3.62,9.7,0,0,0.62,0,0,3.58,0,0,0,0.02,162.95,4.98,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
0,148.25,0,0,0,43.08,0,33.22,1.13,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.17,2.05,0,0.5,0,1.53,2.18,0.03,0,0.73,37.68,0,0,0,0,0,159.9,0,0,0,0,0.08,0.82,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0.07,0.33
0,6.75,3.1,0,0,31.08,0,47.57,139.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
