Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
3.783,0,0.967,0.367,14.8,48.717,40.083,3.067,89.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23.383,0.983,1.183,9.7,9.783,7.967,1.283,103.583,0,16.767,7.483,12.7,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0
4.267,57.05,2.583,0.043,0.817,34.95,5.733,7.467,44.633,1.5,147.433,6.267,0.667,0,0,0,0.1,0,24.7,0,0,0,0,5.017,0,0,0,0,0,0,0,0,0,0,0,1.3,0.09,0,0,0,0,0
0,38.167,0,0.037,0,0,0,0,2.75,0,0,0.093,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0.023,0,0,0,0,0,0,0,0
0,18.033,0,0,0,48.95,0,54.183,2.233,0.152,0,35.8,42.317,0,0,0.088,0,0,8.917,0,0,4.417,0,0,0,0,0,0,0,5,0,0,0,0,0,0.383,1.117,0,0,0,0,0
0,31,0.033,2.083,0,0,0,9.617,0,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333,0,0,0,0,71.817,0,13.267,0,0,0,0,0,0,0.833,0,1.383,0,0,0,1.317,0,0.483,0,15.317,0,0,0,7.217,8.65,4.567,0,0,0,0,0,0.917,0,0,0,0,0
3.417,25.817,0.25,28.2,0,0,36.283,0,0.8,0,0,0,0.5,0,0,0.4,0,0,9.8,0,0,0,0,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.917,0.9,0,0,53.633,1.967,63.817,0.3,0,0,0.333,0,0,0,0,0.05,1.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,11.083,0.215,6.683,0,63.167,27.834,33.983,24.7,0,0,0,0,0,0,22.583,0,0,52.3,0,0,0,0,65.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
