Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
2.2,11.57,1.73,0.08,25.3,51.88,215.05,45.27,45.93,0.22,0,0,0.53,0,0,0,0,0,4.65,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0
0,33.6,0.68,4.87,0.7,51.43,2.5,15.8,46.9,0,25.53,57.15,0.53,0,0,73.48,0,0,2.92,0,0,0,0,17.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
9.08,62.05,0.28,1,10.73,63.88,0,40.63,58.67,0.48,53.1,5.22,0,0,0,1.07,0,0,18.55,0,0,0,0.22,30.33,0,0,0,0,0,0,0,0,0,0.63,0,0,1.07,0,0,0,0,0
0.05,92.3,0.35,0,0,0,0,0.02,8.78,0.07,0,0,0,0,0.2,0,0,0,3.65,0,0.03,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
0,42.5,0,0,0,54.87,0,30.8,0.1,0.12,0,81.33,109.45,0,0,0,0.28,0,11.78,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.52,0,0,0,0,0
16.18,1.53,0.1,0,0,0.37,48.69,17.55,0,2.73,0,51.6,0.92,0.05,0,0,0.62,0,0.22,0,0,0,0,66.55,0,1.57,0,1.12,0,0,0,0,0,0,0,0.02,1.5,0,0,0,0,0
0,57.55,0,5.83,0,2.23,0,0.9,1.78,0,0,0.52,0,0,0.03,1.8,0,0,0,0,0,0,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,67.43,0,22.65,0,0,0,0,0,0,0,0,0.87,0,0,0,0.05,0,0.5,0,1.73,0.22,0,0,32.62,29.43,0,1.43,0,0,0.03,0,0.38,0.98,0,0,0,0
0.95,48.23,0,19.95,0,0,120.23,18.68,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.23,0,0,0,181.28,5.67,127.68,0.78,0,0,0,0,0,0,0,0,0,0,2.72,0,0.22,0,0,0,0,1.73,0.25,0,0,0,0,0.13,0,0,0,0,0,0,0,0
0,0,0,0,229.43,0.28,0,3.37,0,0,0,0.47,0,0.92,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.25,0,0,0,2.97,0,0.15,0,0,0,0,0,0
29.55,0,0,7.67,0,49.88,31.34,34.62,81.42,0,0,0,0,0,0,32.38,0,0,54.47,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
24.87,0,0.4,1.82,11.85,0,185.48,7.05,83.08,3.18,0,0,5.38,0,0,0,0,0,3.53,0,3.02,0,0.52,0.27,1.4,0,0,0,0,0,0,0,0,1.67,0,2.43,0,0,0,0,0,0
0,0,0,0,0,0.6,89.32,0,108.87,0,0,43.7,0,0,0,0,0,0,0,0,0.75,0,0,49.48,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
0,0,2.1,0,0,0,0,0,83.5,0,0,0,0,0,0.32,0,0,0,0,0,0.3,0,0.12,0.42,0,0,0,0,0,0,0.02,0,0.07,0.03,0,0,0,0,0,0.02,0,0
8.08,117.87,0,0,3.92,49.57,72.72,51.27,44.23,0,6.67,11.18,0.25,0,0,3.85,0.08,0,12.37,0,0,0,0,8.83,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
