Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
1.817,4.1,0.183,1.15,6.65,44.433,26.383,15.6,68.433,0,0,0,0.217,0,0,0,0,0,2.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43.667,0,0,0,35.383,0,3.567,24.317,0.5,39.05,8.383,0.767,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,55.1,5.7333,0.283,2,79.483,0.733,5.467,59.633,0,111.95,0,0.383,0,0,0,0,0,24.917,0,0,0,0,9.533,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
0,21.217,0.1,0.217,0,0,0,1.3,13.817,1.9,0,0,0,0,0,0,0,0,7.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.567,0.767,0,0,47.467,0,24.833,2.117,0,0,48.517,85.417,0,0,0,0,0,10.117,0,0,6.483,0,0,0,0,0,0,0.167,1.6,0,0,0,0,0,1,2.25,5.267,0,0,0,0
2.767,0,0,0.067,3.017,0,162.36599999999999,14.667,0,0,0,43.5,1.083,0,0,0.017,0,0,1.1,0,0,0,0,5.183,0,0,0,0.167,0,1.767,0,0,0,0,0,0,0.45,0,0,0,0,0
0,52.878,0,9.21,0,0,0,0.407,21.228,0,0,0,1.853,0,0,1.325,0,0,0.052,0,0,0,0,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
0,0,0,0,0,100.55,0,1.583,0,0,0,0,0,0,15.717,0,0,1.1,0,0,17.533,0,0.217,0,7.5,0,0.1,0,0.067,32.067,3.8,0,0,0.033,0,0,0.617,0,0,0,0,0
0.117,36.533,0.067,15.95,0,0,45.1,0,8,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,11.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2,2.233,1.583,0,0,41.45,1.317,68.233,0.45,0,0,0,0,0,0,0,0,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
