Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
5.787,0,0,0.275,11.457,141.607,25.038,0.057,72.028,0,0,0,0,0,0,0,0,0,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0
0,5.817,0.383,2.783,24.683,69.767,2.817,1.717,36.517,0,0,11.133,0.383,0,0,0,0,0,1.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,0,0,0,0
6.467,10.867,1.117,1.533,2.383,85.383,15.35,30.783,66.3,0,34.017,0,0,0,0,0,0.3,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,64.407,0,0,0,0,0,0.165,2.317,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.633,0,0,0,123.45,0,59.05,0,0,0,41.167,55.75,0,0,0,0,0,22.967,0,0,4.683,0,0.033,0,0,0,0,0,3.617,0,0,0,0,0,0,0,1.933,0,0,0,0
0,32.883,0,28.883,0,0,0.967,0,3.117,0,0,0.733,0.15,0,0,0.833,0,0.167,1.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,193.95,0,0.033,0,0,0,0,0,0,0.433,0,2.7,0,0,0,0,0,0,0,66.167,0,0,0,7,3.467,2.85,0,0,0,0,0,0.317,0,0,0,0,0
2.017,18.7,0.2,18.867,0,0,11.667,0,2.583,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.135,0,0.073,0.86,0,0,0,0,1.115,0,0,0.048,0,0.235,0.028,0,0.467,0,0,0.053,0,0,0,0,0,0,0,0,0.037,0.582,0.037,0,0,0,0,0,0.215,0,0,0,0,0
0,0.183,6.7,2.833,0,0,45.267,0,63.533,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0,0,0,0,0,0,0.383,0
