Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
10.4,1.68,1.37,2.77,83.35,16.43,110.87,38.2,67.7,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0
0,35.52,0.7,7.75,14.22,62.58,38.63,29.97,24.02,0,44.83,6.55,6.02,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,90.08,0,0,35.92,17.97,11.18,54.23,28.5,0,40.35,0.31,0,0,0,1.83,0,0,27.4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
0,31.73,0,1.17,0,0,0,0,2.07,0.13,0,0,0,0,0,0,0,0.03,13.47,0,0.06,0,0.07,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.72,0,0,0,24.35,0,0.62,0,0.16,0,129.77,217.85,0,0.67,0,0,0,0.83,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0
34.35,0,0.13,0.04,0,0,58.2,20.2,0,2.13,0,33.82,0.7,0.45,0,0,0,0,0.3,0,0,0,0,90.35,0,0.02,0,0,0,0,0,0,2.03,0.17,0,0,0.17,0,0,0,0,0
0,18.85,0,27.02,0,0,0,0,0.04,1.02,0,0,0,0,0,0,0,0.1,0,0,0,0,0,33.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,98.6,0,0,0,0,0,0.2,0,0,0,0,0,0.35,0,0,0.14,0,0.29,0,1.58,0.97,0,0,0.85,14.03,0,0,0,0,0.07,0,0,0,0,0.32,0,0
0.22,37.97,0.4,30.03,0,0.83,41.97,0,0.72,0,0,0,0.8,0,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.03,0,0.08,0,0,0,0,0.65,0,0,0,0.09,0,2.18,0,0,0,0,0,0,0.03,0,0.43,0,0,2.72,0.01,0,0.48,0,0,0,0,0,0,0.18,0,0,0.17,0,0,0
