Rudbeckia_hirta,Solidago_altissima,Monarda_fistulosa,Desmodium_canadense,Andropogon_gerardii,Schizachyrium_scoparium,Elymus_trachycaulus,Elymus_canadensis
1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0
0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
