Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,38.87
0,0,0,0,0,0,0,33.15
0,0,0,0,0,0,0,42.91
0,0,0,0,0,0,0,34.3
0,0,0,0,0,0,0,23.54
0,0,0,0,0,0,0,29
0,0,0,0,0,0,47.11,0
0,0,0,0,0,0,51.98,0
0,0,0,0,0,0,54.1,0
0,0,0,0,0,0,50.36,0
0,0,0,0,0,0,51.99,0
0,0,0,0,0,0,47.22,0
0,0,0,0,0,0,53.61,8.9
0,0,0,0,0,30.89,0,0
0,0,0,0,0,37.6,0,0
0,0,0,0,0,52.12,0,0
0,0,0,0,0,54.04,0,0
0,0,0,0,0,43.83,0,0
0,0,0,0,0,47.24,0,0
0,0,0,0,0,40.76,0,6.11
0,0,0,0,0,19.01,37.71,0
0,0,0,0,60.31,0,0,0
0,0,0,0,49.12,0,0,0
0,0,0,0,52.12,0,0,0
0,0,0,0,40.95,0,0,0
0,0,0,0,46.45,0,0,0
0,0,0,0,47.37,0,0,0
0,0,0,0,52.23,0,0,7.22
0,0,0,0,30.18,0,24.09,0
0,0,0,0,33.85,18.17,0,0
0,0,0,20.85,0,0,0,0
0,0,0,66.8,0,0,0,0
0,0,0,30.21,0,0,0,0
0,0,0,24.78,0,0,0,0
0,0,0,32.12,0,0,0,0
0,0,0,54.62,0,0,0,0
0,0,0,61.81,0,0,0,24.5
0,0,0,8.59,0,24.09,0,0
0,0,0,21.92,42.63,0,0,0
0,0,0,7.48,19.36,6.14,23.39,0
0,0,25.32,0,0,0,0,0
0,0,32.35,0,0,0,0,0
0,0,35.34,0,0,0,0,0
0,0,27.71,0,0,0,0,0
0,0,31.13,0,0,0,0,0
0,0,27.07,0,0,0,0,0
0,0,26.33,0,0,0,0,0
0,0,18.97,0,0,0,16.56,0
0,0,23.48,0,13.63,0,0,0
0,0,18.46,0,5.67,0,2.51,0
0,0,39.54,0,8.49,0,8.03,2.05
0,0,22.69,0,9.28,4.04,0,0
0,0,23.99,59.1,0,0,0,0
0,0,31.24,5,0,0,3.99,4.75
0,0,23.19,13.5,0,3.22,5.04,0
0,0,20.75,25.92,18.21,0,2.36,0
0,104.66,0,0,0,0,0,0
0,60.57,0,0,0,0,0,0
0,59.84,0,0,0,0,0,0
0,67.93,0,0,0,0,0,0
0,104.35,0,0,0,0,0,0
0,74.82,0,0,0,0,0,0
0,70.39,0,0,0,0,0,9.18
0,33.49,0,0,0,0,13.79,0
0,29.66,0,0,0,18.06,0,0
0,66,0,0,0,6.26,8.63,4.32
0,25.69,0,0,19.77,3.92,0,10.33
0,71.81,0,19.02,0,0,0,0
0,37.49,0,3.45,0,9.97,0,5.54
0,43.88,0,30.46,24.54,0,0,9.59
0,46.64,0,4,15.57,2.8,0,0
0,52.6,13.9,0,0,0,0,0
0,26.46,13.36,9.19,11.25,0,0,0
9.47,0,0,0,0,0,0,0
19.6,0,0,0,0,0,0,0
15.48,0,0,0,0,0,0,0
16.95,0,0,0,0,0,0,0
10.22,0,0,0,0,0,0,0
10.1,0,0,0,0,0,0,0
16.81,0,0,0,0,0,0,12.06
13.15,0,0,0,0,0,27.95,0
8.38,0,0,0,28.28,0,0,0
12.01,0,0,43.17,0,0,0,0
1.69,0,30.33,0,0,0,0,2.89
3.14,0,24.67,0,13.38,0,0,3.66
2.79,0,21.27,12.92,0,0,14.66,0
2.03,80.15,0,0,0,0,0,0
2.15,58.76,0,0,0,0,18.11,5.14
1.37,22.59,0,0,0,6.95,26.49,0
2.58,16.55,0,0,27.68,0,23.19,0
3.32,53.67,0,35.44,0,0,0,18.2
5.71,22.52,0,32.2,0,17.83,0,0
4.2,23.07,28.56,0,21.2,0,0,0
1.06,21.22,14.9,0,3.59,0,5.38,2.01
3.37,17.64,40.38,12.01,4.56,0,1.97,3.4
1.81,32.93,10.13,11.55,6.11,2.01,4.2,0
5.04,16.72,11.04,24.67,8.84,1.38,8.38,4.15
8.18,16.43,19.94,11.58,4.8,4.68,4.72,5.06
4.06,19.44,17.46,32.13,3.2,4.37,3.18,1.11
