Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,17.33
0,0,0,0,0,0,0,30.76
0,0,0,0,0,0,0,33.34
0,0,0,0,0,0,0,27.73
0,0,0,0,0,0,0,23.12
0,0,0,0,0,0,0,11.3
0,0,0,0,0,0,61.68,0
0,0,0,0,0,0,58.94,0
0,0,0,0,0,0,60.22,0
0,0,0,0,0,0,45.56,0
0,0,0,0,0,0,51.93,0
0,0,0,0,0,0,51.36,0
0,0,0,0,0,0,22.06,4.85
0,0,0,0,0,34.72,0,0
0,0,0,0,0,32.68,0,0
0,0,0,0,0,35.66,0,0
0,0,0,0,0,44.07,0,0
0,0,0,0,0,37.27,0,0
0,0,0,0,0,31.93,0,0
0,0,0,0,0,7,0,14.63
0,0,0,0,0,1.55,68.66,0
0,0,0,0,37.14,0,0,0
0,0,0,0,46.19,0,0,0
0,0,0,0,53.4,0,0,0
0,0,0,0,50.06,0,0,0
0,0,0,0,40.5,0,0,0
0,0,0,0,42.45,0,0,0
0,0,0,0,56.36,0,0,0
0,0,0,0,36.82,0,12.22,0
0,0,0,0,28.04,0,14.6,2.47
0,0,0,40.73,0,0,0,0
0,0,0,100.59,0,0,0,0
0,0,0,29.91,0,0,0,0
0,0,0,14.77,0,0,0,0
0,0,0,13.68,0,0,0,0
0,0,0,70.19,0,0,0,0
0,0,0,88.35,0,0,0,35.4
0,0,0,36.73,0,7.3,0,0
0,0,0,51.48,64.01,0,0,0
0,0,0,15.3,41.36,1.18,21.02,0
0,0,36.2,0,0,0,0,0
0,0,27.11,0,0,0,0,0
0,0,32.32,0,0,0,0,0
0,0,34.45,0,0,0,0,0
0,0,28.2,0,0,0,0,0
0,0,31.28,0,0,0,0,0
0,0,30.26,0,0,0,0,0
0,0,36.92,0,0,0,0,0
0,0,15.03,0,0,0,11.34,0
0,0,23.46,0,0,2.32,0,0
0,0,25.43,0,14.46,0,0,0
0,0,25.63,0,14.5,0,0,0
0,0,16.34,0,21.67,0,0,0
0,0,20.68,0,26.72,0,2.71,0
0,0,45.97,97.35,0,0,0,0
0,0,30.51,6.78,0,0,18.2,0
0,0,23.4,36.31,0,0,8.13,7.47
0,0,24.42,14.02,0,2.96,10.2,0
0,0,23.05,23.98,27.24,0,5.01,0
0,188.14,0,0,0,0,0,0
0,112.93,0,0,0,0,0,0
0,143.14,0,0,0,0,0,0
0,69.73,0,0,0,0,0,0
0,144.66,0,0,0,0,0,0
0,111.05,0,0,0,0,0,0
0,118.82,0,0,0,0,0,10.18
0,46.28,0,0,0,0,21.56,0
0,123.74,0,0,0,0,23.47,9.11
0,84.73,0,0,0,3.26,0,0
0,127.4,0,0,0,1.62,16.85,11.29
0,30.65,0,0,27.02,0,0,6.3
0,42.39,0,0,32.15,0,12.98,0
0,136.45,0,60.52,0,0,0,0
0,56.76,0,4.36,0,0,0,19.98
0,62.85,0,41.11,42.07,0,0,4.6
0,93.02,0,3.99,32.27,1.28,0,0
0,72.35,25.49,0,0,0,0,0
0,30.04,18.22,0,14.31,0,0,0
0,32.59,26.93,0,8.35,0,3.64,3.16
0,37.73,20.73,15.84,29.01,0,0,0
0,55.67,18.03,18.84,14.93,0,3.22,6.29
0,25.04,21.52,7.9,10.8,0,4.09,5.37
23.38,0,0,0,0,0,0,0
15.89,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0
30.17,0,0,0,0,0,0,0
10.91,0,0,0,0,0,0,0
7.08,0,0,0,0,0,0,0
8.2,0,0,0,0,0,0,30.18
5.32,0,0,0,0,0,49.11,0
4.79,0,0,0,49.99,0,0,0
17.71,0,0,35.46,0,0,0,0
2.2,130.96,0,0,0,0,0,0
1.79,29.1,0,0,0,1.21,43.91,0
1.1,111.81,0,55.01,0,0,0,23.6
5.54,64.78,0,18.21,0,7.41,0,0
1.42,40.86,19.39,33.33,12.7,0,11.3,8.39
1,27.97,29.8,21.95,9.21,0,4.29,16.66
