Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,36.57
0,0,0,0,0,0,0,27.7
0,0,0,0,0,0,0,24.09
0,0,0,0,0,0,0,33.45
0,0,0,0,0,0,0,25.26
0,0,0,0,0,0,0,25.74
0,0,0,0,0,0,0,19.89
0,0,0,0,0,0,139.41,0
0,0,0,0,0,0,79.1,0
0,0,0,0,0,0,98.69,0
0,0,0,0,0,0,86.46,0
0,0,0,0,0,0,53.54,0
0,0,0,0,0,0,61.79,0
0,0,0,0,0,0,29.74,21.43
0,0,0,0,0,47.71,0,0
0,0,0,0,0,36.15,0,0
0,0,0,0,0,29.48,0,0
0,0,0,0,0,40.31,0,0
0,0,0,0,0,39.84,0,0
0,0,0,0,0,42.8,0,0
0,0,0,0,0,15.69,52.97,0
0,0,0,0,39.11,0,0,0
0,0,0,0,76.14,0,0,0
0,0,0,0,54.3,0,0,0
0,0,0,0,72.29,0,0,0
0,0,0,0,43.06,0,0,0
0,0,0,0,61.93,0,0,0
0,0,0,0,26.91,0,0,29.04
0,0,0,0,8.04,0,79.73,0
0,0,0,0,47.39,3.23,0,0
0,0,0,8.16,0,0,0,0
0,0,0,24.29,0,0,0,0
0,0,0,20.84,0,0,0,0
0,0,0,9.42,0,0,0,0
0,0,0,40.7,0,0,0,0
0,0,0,15.2,0,0,0,0
0,0,0,1.97,0,0,0,38.79
0,0,0,13.1,0,31.77,0,0
0,0,0,13.6,48.19,0,0,0
0,0,0,4.62,44.5,7.34,11.68,0
0,0,53.3,0,0,0,0,0
0,0,29.75,0,0,0,0,0
0,0,25.9,0,0,0,0,0
0,0,34.57,0,0,0,0,0
0,0,26.62,0,0,0,0,0
0,0,26.99,0,0,0,49.2,0
0,0,16.26,0,0,0,16.76,28.3
0,0,34.23,0,0,16.22,0,0
0,0,22.57,0,39.66,0,0,0
0,0,40.98,0,15.03,0,0,0
0,0,31.03,0,9.02,0,0,10.1
0,0,9.1,0,19.62,0,0,16.79
0,0,24.18,0,6.95,0,10.56,0
0,0,15.27,0,7.87,0,8.75,14.71
0,0,30.52,1.4,0,0,0,0
0,0,21.06,44.41,0,23.21,33.76,0
0,0,15.43,3.7,26.28,0,22.54,0
0,99.3,0,0,0,0,0,0
0,66.93,0,0,0,0,0,0
0,54.63,0,0,0,0,0,0
0,42.82,0,0,0,0,0,0
0,63.97,0,0,0,0,0,0
0,56.44,0,0,0,0,0,0
0,39.74,0,0,0,0,0,34.46
0,56.62,0,0,0,0,0,32.44
0,63.5,0,0,0,0,47.93,0
0,73.24,0,0,0,0,4.07,40.25
0,68.22,0,0,0,9.48,0,0
0,36.1,0,0,2.74,0,0,16.52
0,116.28,0,2.72,0,0,0,0
0,91.59,0,2.09,2.56,0,0,25.02
0,46.31,0,12.43,18.22,22.62,0,0
0,66.05,5.5,0,0,0,0,0
0,35.84,33.78,0,0,0,0,0
0,9.82,21.08,0,11.79,0,0,26.21
0,4.19,25.71,0,11.25,0,0,19.91
0,16.8,42.51,1.96,43.02,0,0,0
7.55,0,0,0,0,0,0,0
10.79,0,0,0,0,0,0,0
13.22,0,0,0,0,0,0,0
18.98,0,0,0,0,0,0,0
8.43,0,0,0,0,0,0,0
13.33,0,0,0,0,0,0,0
5.86,0,0,0,0,0,0,33.4
36.15,0,0,0,0,0,75.2,0
20.53,0,0,0,51.68,0,0,0
20.32,0,0,0,11.04,0,10.79,13.6
21.9,0,0,30.54,0,0,0,0
6.58,0,9.77,0,0,0,0,0
1.83,0,37.29,0,0,0,0,15.22
3.35,0,30.74,3.89,0,0,18.12,0
1.67,0,26.4,1.39,0,9.14,0,0
16.09,42.03,0,0,0,0,0,0
3.82,75.1,0,0,0,0,0,39.13
3.86,72.49,0,0,0,0,0,21.82
6.44,46.22,0,0,0,4.7,16.24,0
7.11,91.35,0,0,29.79,0,4.94,0
5.08,62.92,0,16.51,0,17.03,0,0
3.35,55.32,15.28,11.64,0,0,0,21.8
2.42,85.32,7.56,1.35,12.16,0,8.08,34.54
5.63,11.2,17.99,2.7,4.63,1.74,0,27.91
