Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,30.39
0,0,0,0,0,0,0,24.08
0,0,0,0,0,0,0,23.13
0,0,0,0,0,0,0,26.64
0,0,0,0,0,0,0,27.96
0,0,0,0,0,0,0,13.64
0,0,0,0,0,0,68.96,0
0,0,0,0,0,0,43.92,0
0,0,0,0,0,0,66.87,0
0,0,0,0,0,0,41.14,0
0,0,0,0,0,0,47.74,0
0,0,0,0,0,0,11.07,23.31
0,0,0,0,0,57.09,0,0
0,0,0,0,0,14.01,0,0
0,0,0,0,0,50.2,0,0
0,0,0,0,0,39.12,0,0
0,0,0,0,0,46.25,0,0
0,0,0,0,0,35.14,0,0
0,0,0,0,0,5.23,0,21.36
0,0,0,0,0,11.79,22.21,0
0,0,0,0,39.18,0,0,0
0,0,0,0,36.59,0,0,0
0,0,0,0,82.99,0,0,0
0,0,0,0,51.36,0,0,0
0,0,0,0,14.96,0,0,0
0,0,0,0,43.83,0,0,0
0,0,0,0,25.09,0,0,26.65
0,0,0,0,8.53,0,55.29,0
0,0,0,0,31.74,0,39.72,0
0,0,0,0,30.98,2.49,0,0
0,0,0,3.13,0,0,0,0
0,0,0,19.58,0,0,0,0
0,0,0,11.86,0,0,0,0
0,0,0,11.41,0,0,0,0
0,0,0,36.31,0,0,0,0
0,0,0,13.57,0,0,0,0
0,0,0,11.62,0,0,0,30.3
0,0,0,6.71,0,27.97,0,0
0,0,0,7.12,66.97,31.31,7.14,0
0,0,58.4,0,0,0,0,0
0,0,34.69,0,0,0,0,0
0,0,54.17,0,0,0,0,0
0,0,26.2,0,0,0,0,0
0,0,13.98,0,0,0,0,0
0,0,28.29,0,0,0,0,0
0,0,33.15,0,0,0,26.39,0
0,0,5.51,0,0,0,31.54,31.86
0,0,19.11,0,0,27.6,0,0
0,0,48.36,0,25.87,0,0,0
0,0,26.68,0,6.26,0,8.45,13.18
0,0,2.72,0,4.04,3.12,17.24,0
0,0,16.74,19.26,0,28.38,7.34,0
0,0,27.1,7.52,12.63,0,0,16.4
0,0,13.35,2.39,28.05,0,33.63,0
0,93.07,0,0,0,0,0,0
0,81.42,0,0,0,0,0,0
0,63.9,0,0,0,0,0,0
0,50.13,0,0,0,0,0,0
0,88.86,0,0,0,0,0,0
0,82.47,0,0,0,0,0,0
0,49.62,0,0,0,0,0,28.18
0,51.27,0,0,0,0,0,14.99
0,113.05,0,0,0,0,0,22.98
0,53.91,0,0,0,0,24.59,0
0,71.05,0,0,0,3.3,0,0
0,68.88,0,0,0,1.57,4.54,22.41
0,108.78,0,7.08,0,0,0,0
0,33.4,0,6.2,0,0,0,0
0,137.09,0,2.43,6.74,0,0,28.87
0,42.77,0,5.95,9.75,18.23,0,0
0,29.98,18.29,0,0,0,0,0
0,38.4,23.47,0,0,0,0,0
0,24.5,42.41,3.3,16.18,0,0,0
18.5,0,0,0,0,0,0,0
15.82,0,0,0,0,0,0,0
28.64,0,0,0,0,0,0,0
17.85,0,0,0,0,0,0,0
16.26,0,0,0,0,0,0,0
25.86,0,0,0,0,0,0,0
5.03,0,0,0,0,0,0,25.9
6.5,0,0,0,0,0,100.34,0
1.54,0,0,0,46.33,0,0,0
11.66,0,0,0,18.22,0,11.77,21.58
6.25,0,0,0,28.61,3.13,0,0
25.85,0,0,56.31,0,0,0,0
2.46,0,33.7,0,0,0,0,0
3.64,0,26.86,0,0,0,0,13.69
1.04,0,27.76,0,0,7.97,0,0
4.71,0,5.64,0,35.84,0,0,13.44
3.91,0,14.57,13.66,0,0,30.25,0
24.32,52.18,0,0,0,0,0,0
3.2,62.86,0,0,0,0,0,30.25
2.55,65.53,0,0,0,0,0,18.91
2.07,41.05,0,0,0,4.6,16.22,0
11.65,115.83,0,0,15.89,0,5.22,0
3.59,34.68,0,7.74,0,16.02,0,0
3.66,49.31,5.22,2.27,6.31,0,0,28.52
6.07,121.9,2.75,14.86,13.25,0,4.12,23.51
2.12,50.18,10.85,7.14,3.91,0,4.65,28.6
6.46,55.18,3.2,1.56,4.29,1.73,0,23.23
