Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,79.9
0,0,0,0,0,0,0,76.63
0,0,0,0,0,0,0,95.73
0,0,0,0,0,0,0,70.16
0,0,0,0,0,0,0,57
0,0,0,0,0,0,0,72.82
0,0,0,0,0,0,197.69,0
0,0,0,0,0,0,111.96,0
0,0,0,0,0,0,196.83,0
0,0,0,0,0,0,189.45,0
0,0,0,0,0,0,167.56,0
0,0,0,0,0,0,169.85,0
0,0,0,0,0,0,102.2,36.33
0,0,0,0,0,95.72,0,0
0,0,0,0,0,143.87,0,0
0,0,0,0,0,134.17,0,0
0,0,0,0,0,131.85,0,0
0,0,0,0,0,165.86,0,0
0,0,0,0,0,82.29,0,0
0,0,0,0,0,116.15,0,7.64
0,0,0,0,0,132.06,38.55,0
0,0,0,0,101.34,0,0,0
0,0,0,0,94.54,0,0,0
0,0,0,0,77.39,0,0,0
0,0,0,0,89.5,0,0,0
0,0,0,0,89.52,0,0,0
0,0,0,0,84.11,0,0,0
0,0,0,0,79.87,0,0,14.89
0,0,0,0,39.94,0,65.03,0
0,0,0,0,10.42,144.18,0,0
0,0,0,44.13,0,0,0,0
0,0,0,49.66,0,0,0,0
0,0,0,36.16,0,0,0,0
0,0,0,68.68,0,0,0,0
0,0,0,62.82,0,0,0,0
0,0,0,32.84,0,0,0,0
0,0,0,38.53,0,0,0,27.72
0,0,0,2.05,0,158.18,0,0
0,0,0,19.86,48.79,0,0,0
0,0,0,5.01,16.45,94.47,38.96,0
0,0,103.46,0,0,0,0,0
0,0,120.76,0,0,0,0,0
0,0,159.34,0,0,0,0,0
0,0,141.58,0,0,0,0,0
0,0,148.6,0,0,0,0,0
0,0,152.94,0,0,0,0,0
0,0,80.39,0,0,0,39.55,0
0,0,35.25,0,0,102.01,0,0
0,0,76.5,0,29.8,0,0,0
0,0,58.99,0,21.4,0,39.81,10.24
0,0,23.93,0,13.7,44.66,14.09,0
0,0,99.84,11.05,0,0,0,0
0,0,58.2,10.31,0,0,0,12.35
0,0,20,3.93,0,60.71,21.62,0
0,0,46.25,10.51,25.67,0,0,0
0,87.72,0,0,0,0,0,0
0,122.08,0,0,0,0,0,0
0,68.26,0,0,0,0,0,0
0,82.25,0,0,0,0,0,0
0,106.12,0,0,0,0,0,0
0,95.18,0,0,0,0,0,0
0,25.91,0,0,0,0,0,37.41
0,24.27,0,0,0,0,98.48,0
0,4.54,0,0,0,92.81,0,0
0,6.21,0,0,0,83.03,41.54,7.89
0,12.35,0,0,22.24,107.46,0,9.22
0,46.88,0,23.92,0,0,0,0
0,5.77,0,8.77,0,135.18,0,0
0,19.93,0,17.77,32.16,0,0,13.06
0,12.09,0,6.07,16.14,100.23,0,0
0,18.6,110.78,0,0,0,0,0
0,7.45,66.8,6.33,26.29,0,0,0
58.46,0,0,0,0,0,0,0
71.62,0,0,0,0,0,0,0
79.65,0,0,0,0,0,0,0
99.17,0,0,0,0,0,0,0
71.12,0,0,0,0,0,0,0
40.32,0,0,0,0,0,0,0
38.58,0,0,0,0,0,0,36.06
23.84,0,0,0,0,0,75.88,0
35.29,0,0,0,37.5,0,0,0
10.85,0,0,0,28.8,0,28.36,12.98
31.79,0,0,33.43,0,0,0,0
14.02,0,55.61,0,0,0,0,0
4.15,0,18.73,0,0,52.11,0,5.23
14.49,0,47.67,0,20.09,0,0,9.87
8.68,0,37.57,0,16.94,59.41,0,0
11.49,0,58.7,11.5,0,0,46.01,0
8.91,0,19.09,5.9,0,49.36,0,0
5.26,0,13.33,3.74,4.22,40.82,8.05,4.04
5.41,0,13.71,2.01,8.93,40.5,16.06,3.28
53.52,43.32,0,0,0,0,0,0
25.09,16.71,0,0,0,0,35.83,16.18
20.57,10.93,0,0,0,87.43,22.03,0
28.91,11.07,0,0,31.37,0,28.96,0
19.49,6.5,0,18.18,0,0,0,13.55
8.85,4.55,0,6.92,0,63.55,0,0
11.78,7.48,44.34,0,21.54,0,0,0
5.28,6.5,18.56,7.19,8.73,74.48,9.75,4.22
12.03,6.22,27.87,9.11,11.22,32.43,14.97,6.92
6.45,4.95,24.1,1.82,8.72,39.56,25.17,4.18
10.5,4.49,27,5,9.13,38.84,9.88,4.45
