Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,38.01
0,0,0,0,0,0,0,56.37
0,0,0,0,0,0,0,46.77
0,0,0,0,0,0,0,30.16
0,0,0,0,0,0,0,52.31
0,0,0,0,0,0,0,60.25
0,0,0,0,0,0,0,42.05
0,0,0,0,0,0,0,31.17
0,0,0,0,0,0,82.64,0
0,0,0,0,0,0,47.87,0
0,0,0,0,0,0,82.74,0
0,0,0,0,0,0,96.84,0
0,0,0,0,0,0,66.22,0
0,0,0,0,0,0,44.97,0
0,0,0,0,0,0,15.65,33.26
0,0,0,0,0,57.71,0,0
0,0,0,0,0,45.42,0,0
0,0,0,0,0,27.78,0,0
0,0,0,0,0,78.09,0,0
0,0,0,0,0,66.18,0,0
0,0,0,0,0,65.49,0,0
0,0,0,0,0,12.19,48.47,0
0,0,0,0,40.88,0,0,0
0,0,0,0,14.8,0,0,0
0,0,0,0,100.83,0,0,0
0,0,0,0,65.35,0,0,0
0,0,0,0,56.41,0,0,0
0,0,0,0,115.29,0,0,0
0,0,0,0,29.63,0,0,13.63
0,0,0,0,59.57,0,38.16,0
0,0,0,0,65.5,3.58,0,0
0,0,0,20.5,0,0,0,0
0,0,0,42.99,0,0,0,0
0,0,0,17.4,0,0,0,0
0,0,0,18.68,0,0,0,0
0,0,0,13.69,0,0,0,0
0,0,0,52.78,0,0,0,0
0,0,0,9.94,0,0,0,53.21
0,0,0,7.12,0,31.36,0,0
0,0,0,28.4,75.12,0,0,0
0,0,0,4,49.7,19.86,8.96,0
0,0,32.81,0,0,0,0,0
0,0,22.53,0,0,0,0,0
0,0,36.95,0,0,0,0,0
0,0,30.09,0,0,0,0,0
0,0,58.43,0,0,0,0,0
0,0,54.82,0,0,0,0,0
0,0,30.35,0,0,0,0,0
0,0,27.89,0,0,0,0,31.43
0,0,18.84,0,0,0,34.85,0
0,0,51.27,0,0,0,3.01,12.98
0,0,23.12,0,0,20.66,0,0
0,0,30.64,0,28.11,0,0,0
0,0,31.16,0,15.55,0,0,0
0,0,15.12,0,18.84,0,0,19.49
0,0,26.7,0,22.58,0,5.29,0
0,0,24.79,0,16.27,0,6.03,17.14
0,0,54.84,32.88,0,0,0,0
0,0,15.17,1.75,0,25.05,0,0
0,0,10.79,55.32,0,73.86,21.36,0
0,0,16.57,27.79,24.14,0,7.64,0
0,157.55,0,0,0,0,0,0
0,116.69,0,0,0,0,0,0
0,77.69,0,0,0,0,0,0
0,89.66,0,0,0,0,0,0
0,153.09,0,0,0,0,0,0
0,86.28,0,0,0,0,0,0
0,86.05,0,0,0,0,0,41.63
0,105.1,0,0,0,0,0,31.66
0,32.6,0,0,0,0,0,18.96
0,50.92,0,0,0,0,0,26.67
0,61.94,0,0,0,0,34.13,0
0,237.78,0,0,0,0,7.65,43.98
0,84.74,0,0,0,48.51,0,0
0,113.26,0,0,49.12,0,0,0
0,191.92,0,13.11,0,0,0,0
0,67.91,0,39.64,17.28,0,0,36.05
0,57.26,0,1.62,21.05,10.91,0,0
0,131.94,59.63,0,0,0,0,0
0,45.46,13.18,0,26.94,0,0,0
0,19.43,27.77,0,6.84,0,0,23.48
0,112.11,29.73,0,8.01,0,0,18.52
0,8.75,24.9,0,9.08,0,4.15,14.09
0,23.44,33.94,3.08,36.12,0,0,0
0,9.5,27.16,2.52,3.88,0,0,15.62
0,28.11,25.14,24.85,5.37,0,3.33,22.02
0,47.43,31.88,5.12,3.02,3.12,0,26.86
18.13,0,0,0,0,0,0,0
11.75,0,0,0,0,0,0,0
24.46,0,0,0,0,0,0,0
20.53,0,0,0,0,0,0,0
11.9,0,0,0,0,0,0,0
20.33,0,0,0,0,0,0,0
6.32,0,0,0,0,0,92.43,0
5.12,0,0,0,36.14,0,0,0
1.15,0,0,0,17.43,0,19.47,20.99
29.81,0,0,43.21,0,0,0,0
1.32,0,49.39,10.08,0,0,8.13,0
7.92,101.15,0,0,0,0,0,0
4.93,77.95,0,0,0,13.73,21.28,0
9.53,50.59,0,13.52,0,33.58,0,0
