Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,22.04
0,0,0,0,0,0,0,38.21
0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,13.52
0,0,0,0,0,0,0,35.44
0,0,0,0,0,0,0,24.86
0,0,0,0,0,0,54.15,0
0,0,0,0,0,0,55.48,0
0,0,0,0,0,0,55.27,0
0,0,0,0,0,0,54,0
0,0,0,0,0,0,97.21,0
0,0,0,0,0,0,57.13,0
0,0,0,0,0,0,62.9161092715232,0
0,0,0,0,0,0,29.130775862069,17.159224137931
0,0,0,0,0,26.05,0,0
0,0,0,0,0,31.7,0,0
0,0,0,0,0,12.22,0,0
0,0,0,0,0,60.19,0,0
0,0,0,0,0,54.75,0,0
0,0,0,0,0,48.03,0,0
0,0,0,0,0,6.4906779661017,0,28.6993220338983
0,0,0,0,45.14,0,0,0
0,0,0,0,40,0,0,0
0,0,0,0,38.49,0,0,0
0,0,0,0,88.99,0,0,0
0,0,0,0,66.71,0,0,0
0,0,0,0,53.93,0,0,0
0,0,0,0,56.315408388521,0,0,0
0,0,0,0,53.5779085111062,0,0,2.67209148889378
0,0,0,0,49.8149513356803,0,24.3850486643197,0
0,0,0,0,23.6108456659619,0,16.0202184637068,16.7393305144468
0,0,0,15.92,0,0,0,0
0,0,0,34.57,0,0,0,0
0,0,0,12.82,0,0,0,0
0,0,0,4.12,0,0,0,0
0,0,0,6.4,0,0,0,0
0,0,0,130.19,0,0,0,0
0,0,0,41.7326654632972,0,0,0,43.0073345367028
0,0,0,5.0740765171504,0,13.8259234828496,0,0
0,0,0,33.7480416816385,33.0519583183615,0,0,0
0,0,0,22.9009351669941,50.3594577603143,0,21.3377956777996,0
0,0,35.3375986842105,0,0,0,0,0
0,0,19.06,0,0,0,0,0
0,0,30.9,0,0,0,0,0
0,0,33.82,0,0,0,0,0
0,0,33.59,0,0,0,0,0
0,0,28.48,0,0,0,0,0
0,0,35.42,0,0,0,0,0
0,0,28.3538566798704,0,0,0,0,4.4532373064458
0,0,17.0992527768428,0,0,0,34.0607472231572,0
0,0,24.8850855745721,0,0,4.19491442542787,0,0
0,0,24.5549867197875,0,7.84425298804781,0,0,0
0,0,20.188615916955,0,14.901384083045,0,0,0
0,0,22.8736170212766,0,7.22180225281602,0,2.81458072590738,0
0,0,26.263875502008,0,4.17656626506024,0,6.80451807228916,1.70504016064257
0,0,42.2754855416487,37.7945144583513,0,0,0,0
0,0,29.5447358834244,10.5406193078324,0,0,4.41775956284153,6.55688524590164
0,0,20.0771829243143,6.91640750670241,0,9.59056506496185,31.3058445040215,0
0,0,38.1032402846196,20.1233388067871,11.8201204159825,0,5.99330049261084,0
0,219.56,0,0,0,0,0,0
0,112.49,0,0,0,0,0,0
0,97.95,0,0,0,0,0,0
0,57.63,0,0,0,0,0,0
0,203.45,0,0,0,0,0,0
0,105.7,0,0,0,0,0,0
0,116.531851204351,0,0,0,0,0,14.1381487956488
0,55.2359600137884,0,0,0,0,0,9.14517752499138
0,44.9342409356725,0,0,0,0,26.6357590643275,0
0,38.736304906242,0,0,0,0,41.6707141022348,0
0,148.886408130516,0,0,0,0,2.92928233930641,6.06981100115895
0,105.413292327614,0,0,0,5.60670767238589,0,0
0,287.618145666424,0,0,0,1.55851092498179,3.0048987618354,15.7084446467589
0,96.7568940654465,0,0,2.4798003327787,0,0,0
0,39.9611532715865,0,0,10.0325126979385,0,0,6.33365700627428
0,80.6070831239321,0,0,35.2710151774048,0,7.13095989546688,0
0,142.895158094036,0,25.294841905964,0,0,0,0
0,72.6788480885312,0,23.9035563380282,0,0,0,5.25956740442656
0,93.3967118146214,43.9032881853786,0,0,0,0,0
0,46.6214963562753,23.2676599190283,0,0,0,0,4.01336356275304
0,42.5996602491506,11.5540958852397,0,10.00060400151,0,0,0
0,78.171778319123,14.0568757612667,0,2.72109013398295,0,0,3.89981120584653
0,21.1543401240035,20.9674343076469,0,4.91052553882492,0,3.04146737525834,4.62167109536463
0,26.2239198977418,28.009825308905,4.50415850021304,0,0,0,1.64145717937793
0,29.4727984317967,29.7935284574828,10.7330012167095,14.7306718940111,0,0,0
0,32.1372495390289,17.8153657037492,28.0174462200369,3.00634296250768,0,3.27078979717271,6.33280577750461
14.07,0,0,0,0,0,0,0
7.61,0,0,0,0,0,0,0
17.13,0,0,0,0,0,0,0
19.97,0,0,0,0,0,0,0
7.32,0,0,0,0,0,0,0
8.82,0,0,0,0,0,0,0
2.80062945029906,0,0,0,0,0,0,36.6893705497009
9.14025732031943,0,0,0,0,0,42.8197426796806,0
1.56663501107946,0,0,0,33.7833649889205,0,0,0
19.3995114618564,0,0,12.2704885381436,0,0,0,0
1.3398407079646,0,27.1153008849557,0,0,0,6.60036283185841,0
3.41745606196008,0,27.2760679177837,0,18.4701578790587,0,0,4.1963181411975
1.45807665383269,122.891923346167,0,0,0,0,0,0
3.10314248816186,71.0619629789066,0,13.9973891519587,0,14.8175053809729,0,0
