Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Sporobolus_cryptandrus,Poa_pratensis,Agrostis_rudis,Koeleria_pyramidata,Elymus_repens
0,113.2,2.03,0,0,28.88,0,53.23,67.67,0,0,104.62,42.78,22.43,0,0,28.55,0,0,0
0,9.55,0.63,16.73,0,0,17.3,24.8,68.68,0,0,10.2,25.37,48.65,0,0,15.53,0,0,0
0,41.8,0.57,18.43,0,3.5,0,94.83,94.65,37.2,2.27,0,161.25,51.45,0,0,25.73,0,0,0
0,59.42,9.82,159.88,2.72,6.48,0,0,66.13,0,2,0,34.58,25.2,0,0,2.72,0,0,0
0,12.16,7.27,100.06,5.83,17.9,33.6,0,186.86,0,0,323.44,18.03,64.24,0,0,62.2,0,0,0
232.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0
110.82,0,0,0,0,0,0,0,0,8.58,0,45.6,0,0,2.35,0,0,0,0,0
18.86,0,0,0,0,0,16.13,0,125.8,0,0,198.43,96.8,11.4,0,0,34.27,0,0,0
152.89999999999998,0,0,0,0,53.42999999999999,0,0,0,0,0,0,0,4.7,6.84,1.2,5.77,0.33,0,0
22.17,0,0,0,0,23.97,0,0,178.43,0,1.6,129.76,56.5,8.629999999999999,5.53,0,34.13,0,0,0
15.57,0,0,0,15.93,3.67,13.83,41.13,97.26,0,1.63,160.16,78.64,9.13,0,0,22.270000000000003,0,1.93,0
12.38,0,1.52,0,0,0,41.23,0,83.43,0,5.15,0,213.92,0,0,0,23.12,0,0,0
41.33,0,2.4,0,0,0,89.76,11.5,203.33,4.23,3.03,36.17,67.17,8.6,1.3,0,38.43,0,0,0
14.73,0,1.58,0,0,15.170000000000002,0,13.03,152.73,0,0,65.77,35.25,11.72,0,0,7.05,0,0,0
38.3,13.92,0,6.73,0,16.689999999999998,0,0,15.47,0,0,0,6.43,0,1.35,1.58,1.95,0,5.25,0
21.7,11.5,0.7,0,0,16.650000000000002,0,0,67.02,0,0,0,0,0,2.28,0,47.25,0,0,6.35
