Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Poa_pratensis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,112.08,0,28.37,0.6,0,23.95
0,0,0,0,0,0,0,0,46.67,0,0,0,33.42,0,0,13.15
0,0,0,0,0,0,0,26.65,0,0,155.32,0,0,0,39.6,0
0,0,0,0,0,0,0,4.97,0,0.77,158.07,28.3,9.72,0,14.9,0
0,0,0,0,71.97,0,0,0,0,0,0,82.18,0,2.82,7.55,0
0,0,0,0,34.72,0,0,19.62,0,0,22.68,38.7,32.15,0,28.18,2.77
0,0,4.72,0,0,0,0,0,0,0,0,0,115,0,0,4.8
0,0,1.52,0,13.8,0,8.33,3.13,4.42,0,63.98,31.53,75.7,0,17.3,0
0,0,0.57,0,78.60000000000001,17.52,0,0,0,0,74.17,39.37,0,1.5,2.53,97.65
0,0,2.07,1.63,0,23.05,0,2.17,0,0,107.85,44.58,14.3,0,17.2,0
0,0,7.05,4.22,32.15,10.97,0,11.97,0,0,175.18,11.05,9.65,0,21.53,0
0,46.13,0,0,0,0,0,14,5.62,0,85.03,54.85,53.03,0,25.35,0
0,90.52,0,0,11.2,0,0,19.65,0,0,20.13,87.98,21.72,0,54.82,0
0,18.92,0,0,24,16.25,0,10.83,0,0,101.68,14.67,8.87,0,25.5,0
0,102.97,0,28.4,0,0,0,8.2,0,0,27.4,0,153.97,0,27.3,0
0,57.23,5.12,0,0,20.53,0,0,0,0,153.7,0,47.8,1.17,3.05,4.52
0,9.98,11.82,0,0,11.72,0,26.02,13.87,0,30.92,43.75,26.85,0,10.63,11.63
0,49.3,11.85,0,0,4.37,14.33,7.88,0,1.4,235.63,6.68,28.5,0,36.08,0
0,44.9,2.63,0,89.7,0,0,0,0,0,25.58,5.43,29.77,1.78,2.1,22
0,75.32,8.2,0,27.05,22.12,22.08,7.18,0,0.78,143.73,8,9.58,0,28.83,0
0,28.7,2.95,0,40.8,38.52,4.8,7.73,0,1.78,133.3,17.9,28.18,0,28.05,13.1
0,28.9,3.45,7.02,0,0,0,0,13.6,0,0,155.72,15.75,0,1.85,0
0,38.68,3.9,22.32,4.1899999999999995,0,0,1.48,0,0,0,40.98,122.18,0.53,6.9,15.53
0,149.82,1.17,14.38,11.9,8.43,14.85,9.17,9.95,0.97,36.83,57.95,144.08,0,27.95,0
181.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
110.93,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,0
14.67,0,0,0,55.3,0,0,0,0,0,59.65,0,0,0,0,0
15.88,0,0,0,74.07,15.63,0,4.48,0,0.38,83.97,70.73,30,0,18.67,0
8.17,0,0,0,13.75,21.52,16.33,3.52,0,0,67.67,48.88,30.73,0,4.78,0
10.25,0,0,0,5.15,8.98,33.22,15.38,14.77,0,45.88,74.52,0,0.73,16.77,17.38
64.02,0,6.77,0,0,17.32,0,9.97,10.12,0,62.92,55.55,60.72,0,11.73,0
29.05,0,13.05,0,0,32.03,0,24.43,4.77,0.45,0,0,0,0,69.57,0
15.55,0,0.72,0,0,16.1,19.7,7.83,0,0,57.43,23.42,98.57,0,17.4,0
44.4,0,0.57,0,49.08,23.65,0,0,0,0,21.13,42.43,15.62,1.35,0,39.33
18.77,0,2.87,19.8,0,0,7.37,15.2,14.83,1.28,83.28,61.72,24.02,0.9,8.32,0
71.63,115.45,1.57,0,0,0,74.68,31.38,0,0,98.98,57.45,41.42,0,43.52,0
23.83,45.8,0.57,0,14.97,20.02,4.9,16.08,9.27,0,21.48,53.23,86.87,0,30.22,0
144.47,38.95,1.6,1.18,11.75,23.42,0,11.2,0,0.38,81.55,6.53,0,1.7,28.38,0
14.42,23.7,4.45,1.78,14.8,4.53,0,6.02,0,0.35,64.87,43.52,53.3,0.33,22.25,0
26.28,88.37,5.9,4.12,21.47,10.95,10.55,12.32,0,0,156.87,22.2,9.6,0,26.38,0
