Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Sporobolus_cryptandrus,Poa_pratensis,Agrostis_rudis,Koeleria_pyramidata,Elymus_repens
0,15.75,0,0,0,0,63.65,0,0,0,0,57.1,3.833,17.533,0.483,0,1.687,0,2.067,0
0,36.433,0,0,0,78.583,0,0,0,0,0,0,0,0,0.45,2.4,10.133,0.433,0,1.65
0,33.883,0,0,0,163.88299999999998,0,0,0,0,0,0,0,54.733,0,0,2.467,0.8,0,0
0,11.733,0,0,0,45.1,0,0,0,0,0,36.533,8,2.45,0,0,0,0,15.95,0
0,62.35,0,0,0,40.8,28.867,0,0,0,0,0,60.1,0,0,0,0,1.267,0,0
0,37.833,0,6.783,0,19.2,0,0,53.75,0,0,0,85.95,6.983,0,0,24.133,0,0,0
0,15.767,0,42.917,0,21.967,0,0,48.5,0,1.9,0,69.783,0,0,0.35,7.067,0,0,5.367
0,36.682,0,21.04,0.782,5.61,0,62.527,24.027,0,0.338,0,52.548,22.018,0,0,4.907,0,0,0
0,11.8,3.493,0,0,0,9.932,7.718,76.897,0,0,52.43,34.842,52.31,0,0,15.3,0,0,0
0,20.783,7.317,0,0,0,19,9.383,58.183,0,0.983,18.767,11.55,53.967,0,0,19.017,0,0,0
0,5.183,2.767,0,0,162.366,43.5,0,0,0,0.45,0,0,0,0,0,14.667,0,0,1.767
0,12.267,35.15,0,0,4.75,7.7,0,131.5,0,0,238.95,5.65,29.4,0,0,46.317,0,0,0
0,9.55,3.883,12.033,0,0,0,16.833,66.367,0,0,43.45,38.15,23.833,0,0,9.1,0,0,0
0,3.867,9.283,6.75,0,26.417,6.033,0,10.317,0,0,75.967,38.567,8.017,0,0,0,0,0,0
0,41.433,7.683,55.283,0,22.95,10.867,17.367,63.667,0,0,97.35,17.083,24.867,0,0,22.95,0,0,0
44.17,0,0,0,0,0,0,0,0,0,0,45.145,0,0,0,0,0,0,0,0
4.283,0,0,0,13.483,0,8.55,17.783,105.783,0,0.85,54.75,9.833,0,0,0,31.867,0,0,0
5.967,0,0,0,1.533,25.700000000000003,0,0,0,0,0,49.183,56.4,4.117,0,0.467,0,0,3.433,0
27.517,0,4.15,0,0,0,35.933,0,79.917,0,5.15,0,0,0,0.25,0,17.983,0,9.167,2.167
6.233,0,2.367,0,0,7.967,0,20.267,65.433,0,0,94.183,30.25,45.867,0,0,20.433,0,0,0
18.317,0,2.533,0,0.75,0,27.05,5.55,59.3,0,0,70.85,37.933,3.667,0,0,13.767,0,0,0
7.033,0,5.567,18.433,0,4.85,0,12.617,49.3,0,2.133,16.167,67.583,0,0,0,5.267,1.067,0,0
21.8,8.683,0,0,0,15.967,0,0,104.217,6.917,0.333,69.833,38.15,29.367,0,0,4.467,0,0,0
7.65,14.983,1.15,26.367,0,0,0,17.017,81.467,8.167,5.25,11.467,66.133,64.433,0,0,27.017,0,0,0
9.267,29.067,6.033,21.35,0,12.267,15.65,23.867,83.617,0,0,0,57.233,13.317,0,0,22.033,0,4.183,0
