Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Sporobolus_cryptandrus,Poa_pratensis,Agrostis_rudis,Koeleria_pyramidata,Elymus_repens
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.998,2.993
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357,0,2.088,0,57.637,0
0,0,0,0,0,0,0,0,0,0,0,0,0,49.067,0.583,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,41.383,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,63.75,0,0,1.017,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,51.75,0,0.367,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,28.517,0,0.35,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,65.517,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,67.9,0,0,0,0,0,0,8.35,0
0,0,0,0,0,0,0,0,0,0,0,21.217,13.817,7.583,0,1.9,1.3,0,0,0
0,0,0,0,0,0,0,0,0,5.783,0,0,51.317,0,0,0,0,1.05,0,0
0,0,0,0,0,0,0,0,0,104.567,0,0,7.933,10.15,0,0,0,0,19.4,0
0,0,0,0,0,0,0,0,139.933,0,0,10.2,0,26.767,0,0,51.967,0,0,6.65
0,0,0,0,0,0,0,0,77.35,0,0,234.35,5.25,0,0,0,24.983,0,0,0
0,0,0,0,0,0,91.95,0,0,0,0,0,119.133,0,0.283,0.483,0,0,0,0
0,0,0,0,0,0,76.367,0,0,0,0,0,50.167,2.117,1.633,0,0,0,0,0
0,0,0,0,0,0,79.883,0,0,165.917,0.65,0,4.933,9.683,0,0,0,0.817,0,0
0,0,0,0,0,0,4.017,0,142.433,0,0.767,153.783,0,29.483,0,0,36.183,0,0,0
0,0,0,0,0,0,8.383,39.05,35.383,0,0,43.667,24.317,0,0,0.5,3.567,0,0,0
0,0,0,0,0,0,17.7,30.283,45.867,5.717,0,0,57.25,17.4,0.633,0,0,0,7.9,0
0,0,0,0,0,33.727,0,0,0,0,0,0,38.558,0,0,0,0,0.353,0,0
0,0,0,0,0,41.45,0,0,0,0,0,0,68.233,0,2.233,0.45,1.317,0,0,0
0,0,0,0,0,55.099999999999994,0,0,0,0,0,0,12.317,22.767,0,0.45,0,0,20.417,0
0,0,0,0,0,91.883,0,0,0,0,0,34.933,32.517,0,0,1.25,0,0,0,0
0,0,0,0,0,77.94999999999999,0,0,0,0,0,9.533,50.717,9.45,0,0.35,0,0.35,0,0
0,0,0,0,0,30.7,58.167,0,6.15,11.4,0,17.667,25.75,3.917,0,0,1.783,0,11.483,0
0,0,0,0,8.533,0,11.133,6.717,89.8,0,1.683,101.417,21.1,0,0,0,21.583,0,0,0
0,0,0,0,3.055,10.16,11.652,0,81.007,0,0,110.273,23.747,8.743,0,0,32.623,0,0,0
0,0,0,4.7,0,0,0,0,0,0,0,46.1,0,18.317,0.917,0,0,1.017,0,0
0,0,0,8.183,0,11.583,24.067,0,52.783,0,0,160.483,0,5.517,0,0,12.15,0,0,0
0,0,3.267,0,0,0,0,0,68.7,0,0,178.733,0,0,0,0,7.55,0,0,0
0,0,0.917,0,0,0,0,0,60.617,0,0,8.967,89.467,2.767,0.317,0,25.583,0.267,0,2.067
0,0,1.65,0,0,0,31.4,0,62.033,0,0,29.45,45.367,19.167,0,0,5.05,0.983,0,0
0,0,3.395,0,0,0,11.502,0,24.69,0,0.298,29.177,13.175,21.193,0,0,14.188,0,0,0
0,0,1.933,0,0,0,16.667,0,74.467,21.8,5.383,0,51.55,0,0,0,32.433,0,0,12.05
0,0,1.3,0,0.783,0,0,0,76.233,0,0,190.7,40.033,3.767,0,0.317,11.117,0.55,0,0
0,0,7.783,0,0.917,0,22.783,3.55,135.7,0,0,0,73.783,62.833,0,0,21.15,3.367,0,0
0,0,11.417,52.383,0,0,0,0,77.05,8.133,0,0,35.367,38.283,0,0,0,0,0,0
0,0,7.25,75.817,0,38.75,0,0,65.833,0,0,0,42.433,84.067,0.283,0,21.583,0,9.583,0
