"Plot","Real.rich","Hed","PD","MNND","MPD","Haed","PAE","IACd","MNNDa","MPDa","H","Simp","biomass","litter","phy_treat"
"X2",1,0,0,0,0,0,0,0,0,0,0,0,47.89,79.05,0
"X3",4,1.37729183386109,456.778595761073,136.778595761073,258.926198587024,4.57522488227582,1.20657954775663,19.2233333333333,165.653577083841,258.926198587024,1.17618646824342,0.671237292039639,122.24,74.23,3
"X4",2,0.693147180559945,320,320,320,3.44567770080319,1,68.7,320,320,0.224971759369078,0.111525357635796,77.93,34.5,3
"X7",1,0,0,0,0,0,0,0,0,0,0,0,44.37,36.32,0
"X8",3,1.09342692564559,418.98916754485,238.652223393134,279.326111696567,4.53658659340413,1.06549135981526,45.695,254.329786142869,279.326111696567,0.75609673825382,0.512033175971333,166.82,21.46,1
"X9",1,0,0,0,0,0,0,0,0,0,0,0,44.37,37.26,0
"X11",2,0.693147180559945,6.87475481384767,6.87475481384767,6.87475481384767,3.42919511371662,1,53.73,6.87475481384767,6.87475481384767,0.298825013008399,0.161174209619520,65.27,12.9,2
"X12",4,1.38629431332113,326.773720139093,6.77372013909345,215.591240046364,4.32360861266032,1.00096506879221,26.6733333333333,6.78717293724192,215.591240046364,0.85791756630729,0.530874284720413,87.42,22.2,2
"X13",1,0,0,0,0,0,0,0,0,0,0,0,66.24,15.2,0
"X14",1,0,0,0,0,0,0,0,0,0,0,0,47.58,11.19,0
"X15",2,0.693147180559945,161.720430649395,161.720430649395,161.720430649395,4.02500132030658,1,36.13,161.720430649395,161.720430649395,0.547156452413425,0.361265548412198,68.59,35.29,2
"X16",4,1.38589906275611,84.6310016934615,9.05214526101696,53.4032860419687,3.32143697188383,0.871119430687755,16.8583333333333,7.54012196624995,53.4032860419687,0.809842532767094,0.403099643121184,49.65,84.45,1
"X17",3,1.04324365031241,323.336342732170,111.115123642893,215.557561821446,2.51593759089304,0.230512556391315,27.78,20.1537066966254,215.557561821446,0.447479198771527,0.219305867333543,44.16,53.67,2
"X18",1,0,0,0,0,0,0,0,0,0,0,0,40.62,42.79,0
"X19",2,0.693147180559945,11.4316050576947,11.4316050576947,11.4316050576947,3.21254177947401,1,25.27,11.4316050576947,11.4316050576947,0.455093136338621,0.281540018702282,38.23,30.66,1
"X21",2,0.693147180559945,32.5963199959762,32.5963199959762,32.5963199959762,0,0,0,0,0,0.0803881175540644,0.0307164959281003,60.25,55.82,1
"X22",3,1.09342692564559,418.98916754485,238.652223393134,279.326111696567,3.12983109804024,0.84003797747536,59.9675,200.264330772586,279.326111696567,0.365627736639130,0.177834721411520,91.81,141.6,3
"X23",4,1.3734129924039,499.849382869548,210.354799097123,252.946183471466,2.90786929933173,1.32499858621431,8.86083333333333,279.918614396259,252.946183471466,0.765483058689244,0.412937692235042,42.91,22.45,3
"X24",2,0.693147180559945,197.978335089701,197.978335089701,197.978335089701,3.01792209309909,1,38.01,197.978335089701,197.978335089701,0.272800894337653,0.143110511184699,44.99,15.65,2
"X25",2,0.693147180559945,75.5788564324446,75.5788564324446,75.5788564324446,2.42892797586003,1,31.3,75.5788564324446,75.5788564324446,0.216252071710653,0.106001958065987,35.27,9.15,2
"X26",2,0.693147180559945,71.2307852814071,71.2307852814071,71.2307852814071,0,0,0,0,0,0.183896000774540,0.0861733938809774,15.07,6.91,0
"X27",4,1.38398691874110,288.822106797201,90.8437717075003,162.266813962301,4.09283315719560,0.964893441999906,25.7233333333333,87.5864787314952,162.266813962301,0.953669022346937,0.56664830253957,110.5,32.89,2
"X28",1,0,0,0,0,0,0,0,0,0,0,0,2.03,8.64,1
"X29",1,0,0,0,0,0,0,0,0,0,0,0,95.11,7.75,0
"X31",2,0.693147180559945,110.456758133594,110.456758133594,110.456758133594,3.51672759237362,1,110.65,110.456758133594,110.456758133594,0.139923052227212,0.0610181184227192,118.09,54.49,1
"X32",1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
"X33",1,0,0,0,0,0,0,0,0,0,0,0,123.1,17.89,0
